tr,recall,precision,harmonic_mean
0.05,0.621477,0.390389,0.479545
0.1,0.621477,0.390389,0.479545
0.15,0.621477,0.390389,0.479545
0.2,0.618121,0.389245,0.477682
0.25,0.618121,0.389245,0.477682
0.3,0.61141,0.386957,0.473953
0.35,0.608725,0.384211,0.471085
0.4,0.608725,0.384211,0.471085
0.45,0.601342,0.380778,0.466293
0.5,0.551678,0.362014,0.437161
0.55,0.518792,0.349886,0.417918
0.6,0.499329,0.344165,0.407475
0.65,0.485906,0.339588,0.39978
0.7,0.466443,0.329291,0.386047
0.75,0.424832,0.294966,0.348184
0.8,0.397986,0.281236,0.329577
0.85,0.313423,0.23135,0.266204
0.9,0.242953,0.178032,0.205487
0.95,0.183221,0.136613,0.156521
1,0.0744966,0.0546911,0.0630757